rank,sn,carries,crosses,county,owner,maint,year_built,year_recon,adt,adt_year,truck_pct,min_rating,poor_since,streak,status,lat,lon
1,31720.0,IA 1 NB,IOWA RIVER,Johnson,City / Municipal,City / Municipal,1915,1986.0,10950,2022,4,4.0,2010,16,Open,41.657944444444446,-91.54164722222222
2,35410.0,SO CENTER ST,RR AND MADISON ST,Marshall,City / Municipal,City / Municipal,1951,0.0,9491,2022,0,3.0,2010,16,Posted (load limit),42.040641666666666,-92.91282500000001
3,10530.0,6TH ST,FLOYD RIVER,Woodbury,City / Municipal,City / Municipal,1962,1978.0,8957,2021,0,4.0,2010,16,Open,42.496475000000004,-96.38914444444445
4,11800.0,E RIDGEWAY AVE,DRY RUN CREEK,Black Hawk,City / Municipal,City / Municipal,1950,0.0,8392,2022,0,4.0,2010,16,Posted (load limit),42.46938333333333,-92.34322499999999
5,503935.0,9TH AVE,INDIAN CREEK,Pottawattamie,City / Municipal,City / Municipal,1930,0.0,4059,2022,0,3.0,2010,16,Posted (load limit),41.25344444444445,-95.86481388888889
6,3700.0,WALNUT ST,DES MOINES RIVER,Polk,City / Municipal,City / Municipal,1911,1966.0,3844,2022,0,3.0,2010,16,Open,41.58723888888889,-93.61827777777778
7,36750.0,IA 141 & 175,MAPLE RIVER,Monona,Iowa DOT (State),Iowa DOT (State),1967,0.0,3720,2023,11,4.0,2010,16,Open,42.17151944444444,-95.79669166666666
8,10540.0,11TH ST,FLOYD RIVER,Woodbury,City / Municipal,City / Municipal,1962,0.0,3523,2021,0,3.0,2010,16,Open,42.50193055555555,-96.38534722222222
9,2640.0,5TH AVE,INDIAN CREEK,Pottawattamie,City / Municipal,City / Municipal,1935,0.0,3013,2022,0,4.0,2010,16,Open,41.25709166666667,-95.86481666666666
10,8950.0,W CHARLES ST,DRY RUN CREEK,Fayette,City / Municipal,City / Municipal,1905,0.0,2673,2021,0,3.0,2010,16,Open,42.678441666666664,-91.91493611111112
11,22080.0,FM,SUGAR CREEK,Dallas,City / Municipal,County,1933,1954.0,2628,2022,21,4.0,2010,16,Open,41.534416666666665,-93.82316944444445
12,239810.0,FM,BNSF RR AND STREAM,Marion,County,County,1964,0.0,2620,2022,10,4.0,2010,16,CLOSED to traffic,41.32692777777778,-93.02498333333334
13,6460.0,JOHNSON ST,RALSTON CREEK,Johnson,City / Municipal,City / Municipal,1930,0.0,2356,2022,0,4.0,2010,16,Open,41.660713888888885,-91.5272138888889
14,10475.0,LARSEN PARK RD,PERRY CREEK,Woodbury,City / Municipal,City / Municipal,1963,0.0,2330,2022,2,4.0,2010,16,Open,42.48986388888889,-96.41093611111111
15,145095.0,FM,CREEK,Dickinson,County,County,1941,0.0,2060,2022,0,3.0,2010,16,Open,43.41762222222222,-95.07105277777778
16,5240.0,RICHARDS DR,DRY CREEK,Lee,City / Municipal,City / Municipal,1951,0.0,2012,2022,0,3.0,2010,16,Posted (load limit),40.63129722222222,-91.34537222222222
